cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
14825857,909,"InChI=1S/C25H24O12/c1-10-21(34-11(2)26)20(32)24(35-12(3)27)25(33-10)37-23-19(31)18-16(30)8-15(29)9-17(18)36-22(23)13-4-6-14(28)7-5-13/h4-10,20-21,24-25,28-30,32H,1-3H3",CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)OC(=O)C)O)OC(=O)C,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)OC(=O)C)O)OC(=O)C,VWQNZPASHLNLEM-UHFFFAOYSA-N,"[5-acetyloxy-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-4-hydroxy-2-methyloxan-3-yl] acetate",111 °C
131752080,909,"InChI=1S/C30H40O2/c1-23(12-8-9-13-24(2)15-11-17-26(4)22-31)14-10-16-25(3)18-19-29-27(5)20-28(32)21-30(29,6)7/h8-20,22,28-29,32H,21H2,1-7H3/b9-8-,14-10+,15-11-,19-18+,23-12+,24-13+,25-16-,26-17-",CC1=CC(CC(C1/C=C/C(=C\C=C\C(=C\C=C/C=C(\C)/C=C\C=C(\C)/C=O)\C)/C)(C)C)O,CC1=CC(CC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C)(C)C)O,SPBPMWXNKPPVSX-LHMJRBLPSA-N,"(2Z,4Z,6E,8Z,10E,12E,14Z,16E)-17-(4-hydroxy-2,6,6-trimethylcyclohex-2-en-1-yl)-2,6,11,15-tetramethylheptadeca-2,4,6,8,10,12,14,16-octaenal",153 °C
5319375,908,"InChI=1S/C30H48O4/c1-25(2)21-9-12-29(6)22(27(21,4)11-10-23(25)32)8-7-19-20-17-26(3,18-31)13-15-30(20,24(33)34)16-14-28(19,29)5/h7,20-23,31-32H,8-18H2,1-6H3,(H,33,34)",CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5)(C)CO)C(=O)O)C)C)C,CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5)(C)CO)C(=O)O)C)C)C,CZWBKSDPBWNHGO-UHFFFAOYSA-N,"10-hydroxy-2-(hydroxymethyl)-2,6a,6b,9,9,12a-hexamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",345 - 348 °C
15559978,908,"InChI=1S/C30H46O3/c1-19(9-8-10-20(2)26(32)33)21-13-17-30(7)23-11-12-24-27(3,4)25(31)15-16-28(24,5)22(23)14-18-29(21,30)6/h10,19,21,24H,8-9,11-18H2,1-7H3,(H,32,33)/b20-10+",CC(CC/C=C(\C)/C(=O)O)C1CCC2(C1(CCC3=C2CCC4C3(CCC(=O)C4(C)C)C)C)C,CC(CCC=C(C)C(=O)O)C1CCC2(C1(CCC3=C2CCC4C3(CCC(=O)C4(C)C)C)C)C,KDCSSVADTHDYGI-KEBDBYFISA-N,"(E)-2-methyl-6-(4,4,10,13,14-pentamethyl-3-oxo-1,2,5,6,7,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl)hept-2-enoic acid",166 - 167 °C
85284301,908,"InChI=1S/C27H38O5/c1-14-7-8-27(31-13-14)15(2)24-22(32-27)10-19-17-6-5-16-9-20(28)21(29)12-25(16,3)18(17)11-23(30)26(19,24)4/h6,9,14-15,18-19,21-24,29-30H,5,7-8,10-13H2,1-4H3",CC1CCC2(C(C3C(O2)CC4C3(C(CC5C4=CCC6=CC(=O)C(CC56C)O)O)C)C)OC1,CC1CCC2(C(C3C(O2)CC4C3(C(CC5C4=CCC6=CC(=O)C(CC56C)O)O)C)C)OC1,QRAOBCVRMVGMTN-UHFFFAOYSA-N,"10,15-dihydroxy-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-1(20),17-diene-6,2'-oxane]-16-one",230 °C
131752023,908,"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(24(30)18(17)2)8-9-20-27(5)12-11-22(31)26(3,4)21(27)16-23(32)29(20,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20?,21?,22+,23-,24+,27-,28-,29+,30+/m1/s1",C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CCC4[C@]3([C@@H](CC5[C@@]4(CC[C@@H](C5(C)C)O)C)O)C)[C@@H]2[C@H]1C)C)C(=O)O,CC1CCC2(CCC3(C(=CCC4C3(C(CC5C4(CCC(C5(C)C)O)C)O)C)C2C1C)C)C(=O)O,DZLAZTJTKXGAGR-SACTXEEHSA-N,"(1S,2R,4aS,6aR,6bR,7R,10S,12aS,14bS)-7,10-dihydroxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",252 - 254 °C
4483732,907,"InChI=1S/C27H32O14/c28-6-9-4-11-16(26-24(37)22(35)19(32)14(7-29)39-26)10-2-1-3-13(18(10)21(34)17(11)12(31)5-9)40-27-25(38)23(36)20(33)15(8-30)41-27/h1-5,14-16,19-20,22-33,35-38H,6-8H2",C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C(C(C(C(O5)CO)O)O)O)C=C(C=C4O)CO,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C(C(C(C(O5)CO)O)O)O)C=C(C=C4O)CO,MNAYRSRTNMVAPR-UHFFFAOYSA-N,"1-hydroxy-3-(hydroxymethyl)-10-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-10H-anthracen-9-one",184 - 187 °C
73818214,907,"InChI=1S/C20H16O9/c21-9-4-11(22)10-6-14(25)20(29-15(10)5-9)8-1-7-2-13(24)18(27)19(28)16(7)17(26)12(23)3-8/h1-5,14,20-22,24-25,27-28H,6H2,(H,23,26)",C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=O)C(=C4C(=C3)C=C(C(=C4O)O)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=O)C(=C4C(=C3)C=C(C(=C4O)O)O)O)O,KOXRJHMEFYNYME-UHFFFAOYSA-N,"2,3,4,5-tetrahydroxy-8-(3,5,7-trihydroxy-3,4-dihydro-2H-chromen-2-yl)benzo[7]annulen-6-one",203 - 204 °C
12314516,906,"InChI=1S/C30H48O4/c1-25(2)14-19-18-8-9-21-27(5)12-11-22(32)26(3,4)20(27)10-13-28(21,6)29(18,7)16-24(34)30(19,17-31)23(33)15-25/h8,17,19-24,32-34H,9-16H2,1-7H3",CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CC(C2(C(C1)O)C=O)O)C)C)(C)C)O)C)C,CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CC(C2(C(C1)O)C=O)O)C)C)(C)C)O)C)C,QBWHAELJLKYXDB-UHFFFAOYSA-N,"4,5,10-trihydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carbaldehyde",198 - 202 °C
73880583,906,"InChI=1S/C23H28O5/c1-10(2)23-12(24)9-11(3)14(23)13-15(19(23)26)22-8-6-7-21(4,5)18(22)17(16(13)25)28-20(22)27/h9-10,14,16-18,25H,6-8H2,1-5H3",CC1=CC(=O)C2(C1C3=C(C2=O)C45CCCC(C4C(C3O)OC5=O)(C)C)C(C)C,CC1=CC(=O)C2(C1C3=C(C2=O)C45CCCC(C4C(C3O)OC5=O)(C)C)C(C)C,IEPYKUBVROCHOQ-UHFFFAOYSA-N,"10-hydroxy-7,13,13-trimethyl-4-propan-2-yl-18-oxapentacyclo[9.5.2.01,12.02,9.04,8]octadeca-2(9),6-diene-3,5,17-trione",245 °C
