cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
13946,593,"InChI=1S/C10H2Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20/h1,21H",C1(C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)O,C1(C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)O,MBEIHNKADVMCJM-UHFFFAOYSA-N,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-ol","680 °F (decomposes) (NTP, 1992)"
22829,593,"InChI=1S/C18H18N4O6/c1-11(23)17(18(24)19-13-6-4-5-7-15(13)27-2)21-20-14-9-8-12(22(25)26)10-16(14)28-3/h4-10,17H,1-3H3,(H,19,24)",CC(=O)C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC,CC(=O)C(C(=O)NC1=CC=CC=C1OC)N=NC2=C(C=C(C=C2)[N+](=O)[O-])OC,ZTISORAUJJGACZ-UHFFFAOYSA-N,2-[(2-methoxy-4-nitrophenyl)diazenyl]-N-(2-methoxyphenyl)-3-oxobutanamide,"559 °F (technical) (NTP, 1992)"
33042,593,"InChI=1S/C17H34N4O10/c18-2-6-10(24)12(26)8(21)16(28-6)30-14-5(20)1-4(19)9(23)15(14)31-17-13(27)11(25)7(3-22)29-17/h4-17,22-27H,1-3,18-21H2/t4-,5+,6-,7-,8-,9+,10-,11-,12-,13-,14-,15-,16-,17+/m1/s1",C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N,NSKGQURZWSPSBC-VVPCINPTSA-N,"(2R,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-[(1R,2R,3S,4R,6S)-4,6-diamino-2-[(2S,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxycyclohexyl]oxyoxane-3,4-diol",193.5°C
72344,593,"InChI=1S/C21H22O8/c1-23-13-8-7-11(9-15(13)24-2)14-10-12(22)16-17(25-3)19(26-4)21(28-6)20(27-5)18(16)29-14/h7-10H,1-6H3",COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,MRIAQLRQZPPODS-UHFFFAOYSA-N,"2-(3,4-dimethoxyphenyl)-5,6,7,8-tetramethoxychromen-4-one",134 °C
92748,593,"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-16,18,22-24,26H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18+,19-,20-,21-/m0/s1",C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O,CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O)O,AODPIQQILQLWGS-FDSHTENPSA-N,"2-hydroxy-1-[(3R,5S,8S,9S,10S,11S,13S,14S,17R)-3,11,17-trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-yl]ethanone",244.5 °C
102615,593,"InChI=1S/C39H76O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h37,40H,3-36H2,1-2H3",CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,UHUSDOQQWJGJQS-UHFFFAOYSA-N,(3-hydroxy-2-octadecanoyloxypropyl) octadecanoate,71 - 72 °C
399491,593,"InChI=1S/C20H18O6/c1-10(2)3-5-13-15(23)8-18-19(20(13)25)16(24)9-17(26-18)12-6-4-11(21)7-14(12)22/h3-4,6-9,21-23,25H,5H2,1-2H3",CC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=C(C=C(C=C3)O)O)O)C,CC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=C(C=C(C=C3)O)O)O)C,YWUVFGZTDLJVCR-UHFFFAOYSA-N,"2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-6-(3-methylbut-2-enyl)chromen-4-one",275 - 276 °C
3794292,593,"InChI=1S/C21H22O9/c22-9-17-18(25)19(26)20(27)21(30-17)28-12-4-1-10(2-5-12)15-8-14(24)13-6-3-11(23)7-16(13)29-15/h1-7,15,17-23,25-27H,8-9H2",C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,DEMKZLAVQYISIA-UHFFFAOYSA-N,"7-hydroxy-2-[4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-2,3-dihydrochromen-4-one",212 °C
4475723,593,"InChI=1S/C19H25NO10/c20-6-11(9-4-2-1-3-5-9)29-19-17(26)15(24)14(23)12(30-19)8-28-18-16(25)13(22)10(21)7-27-18/h1-5,10-19,21-26H,7-8H2",C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC(C#N)C3=CC=CC=C3)O)O)O)O)O)O,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC(C#N)C3=CC=CC=C3)O)O)O)O)O)O,YYYCJNDALLBNEG-UHFFFAOYSA-N,"2-phenyl-2-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxan-2-yl]oxyacetonitrile",184 - 185 °C
5281797,593,"InChI=1S/C20H18O6/c1-10(2)3-5-13-16(23)8-17-18(19(13)24)20(25)14(9-26-17)12-6-4-11(21)7-15(12)22/h3-4,6-9,21-24H,5H2,1-2H3",CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=C(C=C(C=C3)O)O)O)C,CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=C(C=C(C=C3)O)O)O)C,MMPVAPMCVABQPS-UHFFFAOYSA-N,"3-(2,4-dihydroxyphenyl)-5,7-dihydroxy-6-(3-methylbut-2-enyl)chromen-4-one",225 - 227 °C
